length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
110,-67.5,1,13,57.27272727272727,53.84615384615385,39,12,3,5,2,1,31,4,0,0,0,0,0,1,2,8,2,0,0,1,0,0,2,4,1,0,1,0,0,1,0,5,0,0,0,1,0,0,3
85,-39.79999923706055,1,9,54.11764705882353,66.66666666666666,34,15,5,2,1,4,29,2,1,0,0,0,0,0,1,4,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,6,1,1,0,0,0,0,2
73,-34.0,1,5,58.9041095890411,60.0,29,7,6,1,4,2,26,4,0,0,1,0,0,0,0,3,1,0,2,1,0,0,1,4,0,0,0,2,0,0,0,1,1,1,1,1,0,0,0
81,-31.100000381469727,1,14,39.50617283950617,28.57142857142857,31,10,4,1,1,3,27,7,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,5,2,1,0,1,0,0,2,2,0,0,1,0,0,0,0
88,-34.79999923706055,1,11,44.31818181818182,36.36363636363637,31,11,4,3,1,3,28,2,0,0,0,1,0,0,0,6,2,1,0,1,0,0,1,3,0,1,0,0,0,1,3,5,1,0,0,0,0,1,0
71,-30.399999618530273,1,11,42.25352112676056,9.090909090909092,24,9,4,3,3,1,18,2,0,0,2,3,0,0,2,3,0,0,0,1,0,0,0,1,2,2,1,0,0,0,1,2,1,0,0,0,0,0,0
94,-48.79999923706055,1,9,53.191489361702125,33.33333333333333,31,12,4,3,2,2,23,2,1,1,1,2,0,0,0,5,0,0,1,0,0,2,0,4,3,0,0,0,0,0,3,3,0,1,0,0,0,0,2
87,-34.5,1,12,56.32183908045977,58.333333333333336,29,7,6,4,4,2,22,3,2,1,1,0,0,0,2,1,2,1,0,2,0,0,1,6,0,0,0,0,0,0,0,1,2,0,0,2,0,1,1
92,-35.29999923706055,1,7,28.26086956521739,14.285714285714285,32,15,3,3,3,0,26,2,1,0,0,2,0,1,2,5,0,0,0,0,0,0,1,8,1,1,2,0,0,0,2,1,1,0,0,0,0,0,0
89,-42.099998474121094,1,8,55.0561797752809,62.5,30,10,5,5,3,2,23,3,0,1,1,1,0,0,1,3,0,0,0,0,0,2,0,5,1,0,1,1,0,1,0,3,2,0,0,0,0,0,3
77,-37.20000076293945,1,5,61.038961038961034,60.0,29,8,6,3,1,5,22,3,0,0,0,0,1,0,1,6,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,5,0,2,1,0,0,0,0
83,-38.0,1,4,50.602409638554214,75.0,33,12,5,5,1,4,26,4,1,1,1,1,0,0,1,1,1,0,0,2,0,0,0,6,2,0,1,0,0,0,0,3,1,0,0,0,0,1,0
99,-37.5,1,4,40.4040404040404,50.0,38,10,7,1,4,3,29,5,0,1,1,0,0,0,2,6,4,0,2,1,1,0,0,5,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1
72,-22.399999618530273,1,7,54.166666666666664,28.57142857142857,22,9,5,4,3,2,20,1,0,1,0,1,0,0,1,3,1,0,1,1,0,1,1,4,1,0,0,0,0,1,2,0,0,0,2,1,0,1,0
67,-32.29999923706055,1,15,52.23880597014925,53.333333333333336,23,12,1,2,0,1,23,2,0,0,0,0,0,0,2,4,0,1,0,1,0,0,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2
59,-24.799999237060547,1,7,47.45762711864407,57.14285714285714,23,11,3,1,1,2,21,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,1,0,0,0,0,0,1,4,0,0,1,1,0,0,0
82,-21.299999237060547,2,4,45.1219512195122,50.0,25,7,4,1,2,2,20,4,2,1,0,0,0,0,2,2,2,0,0,1,0,0,1,3,1,0,0,1,0,0,3,2,0,0,0,1,0,0,1
80,-34.20000076293945,1,4,42.5,75.0,33,21,3,5,0,3,27,5,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,6,0,0,0,1,0,0,1,3,1,0,0,0,0,0,1
100,-53.79999923706055,1,3,64.0,33.33333333333333,34,11,6,4,3,3,22,1,0,0,0,1,0,0,2,6,2,0,1,1,0,0,0,3,0,1,1,1,0,0,0,5,1,0,0,3,0,0,4
94,-40.29999923706055,1,10,58.51063829787234,30.0,31,6,7,2,2,5,19,1,2,0,0,0,0,1,3,3,3,0,0,1,1,0,1,2,1,0,0,2,0,0,2,7,0,0,0,1,0,0,0
84,-34.099998474121094,1,12,42.857142857142854,25.0,28,9,4,4,4,0,23,3,1,0,0,1,0,0,2,3,1,0,0,1,0,0,1,4,2,0,1,1,0,0,2,2,0,0,1,1,0,0,1
86,-29.100000381469727,1,13,51.162790697674424,30.76923076923077,24,7,5,2,5,0,16,2,1,0,0,2,0,0,2,2,1,0,0,1,0,0,0,2,2,1,0,1,0,1,2,2,1,1,0,1,0,1,2
87,-42.29999923706055,1,5,40.229885057471265,20.0,35,23,3,1,1,2,29,4,0,0,1,1,0,0,0,8,0,1,0,1,0,0,1,5,0,1,0,0,0,0,1,3,0,0,0,1,0,0,1
85,-43.29999923706055,1,12,43.529411764705884,33.33333333333333,32,11,3,2,2,1,22,4,0,1,0,1,0,0,2,6,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,4,0,0,0,2,0,0,1
105,-35.5,1,3,51.42857142857142,66.66666666666666,37,9,8,4,3,5,31,2,0,2,0,1,0,3,0,3,1,1,0,0,0,0,1,6,2,0,1,1,0,0,0,3,2,1,0,4,0,1,0
84,-39.70000076293945,1,9,53.57142857142857,33.33333333333333,31,17,4,1,1,3,26,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,6,1,0,0,1,0,2,2,6,3,0,0,0,0,0,1
60,-22.0,1,14,43.333333333333336,28.57142857142857,20,10,3,1,0,3,17,3,0,1,0,0,0,2,2,3,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1
