length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
74,-21.700000762939453,1,4,51.35135135135135,50.0,19,6,3,5,1,2,16,2,0,0,0,0,0,1,2,2,1,2,0,0,0,0,0,4,1,2,0,1,0,1,2,0,0,0,0,1,0,0,2
81,-10.100000381469727,1,6,39.50617283950617,33.33333333333333,23,4,6,2,3,3,21,3,0,2,0,2,0,2,4,0,1,0,0,0,0,0,0,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
81,-19.200000762939453,1,4,48.148148148148145,25.0,21,7,5,5,2,3,19,2,1,1,0,2,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,3,3,2,0,1,0,0,0,3
120,-44.599998474121094,1,3,59.166666666666664,66.66666666666666,43,7,13,3,6,7,32,2,1,1,3,1,0,0,1,3,1,0,2,2,1,0,0,6,3,0,0,3,0,2,0,3,1,0,0,3,0,0,1
120,-29.200000762939453,1,9,45.83333333333333,33.33333333333333,38,6,10,5,2,8,33,4,4,0,0,1,0,2,3,3,0,0,0,4,0,0,0,3,1,1,1,2,0,2,2,3,2,0,0,1,0,0,1
111,-35.400001525878906,1,3,53.153153153153156,33.33333333333333,37,6,9,4,3,6,31,2,2,1,0,1,0,1,0,5,0,0,0,0,0,1,0,1,2,1,1,2,0,1,2,4,3,1,1,3,0,2,0
83,-12.600000381469727,1,4,49.39759036144578,25.0,20,6,5,6,1,4,20,1,0,0,2,2,0,0,5,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,3,1,1,0,2,0,1,1
79,-13.199999809265137,1,14,45.56962025316456,21.428571428571427,19,5,6,2,3,3,16,1,1,1,1,0,0,2,4,3,1,1,0,0,0,0,1,1,0,0,0,1,0,0,3,1,1,1,0,2,0,0,0
84,-25.299999237060547,1,11,48.80952380952381,45.45454545454545,25,9,3,5,1,2,22,4,1,1,0,0,0,1,0,3,0,0,0,1,0,0,3,4,1,2,0,1,0,2,3,1,0,0,0,0,0,0,0
84,-13.199999809265137,1,8,50.0,50.0,17,4,4,10,1,3,13,1,1,1,0,0,0,0,5,0,1,1,0,2,0,0,1,2,2,0,0,2,0,1,2,1,0,1,0,1,0,0,3
43,-8.399999618530273,1,7,53.48837209302325,42.857142857142854,10,4,2,1,0,2,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,1,4,2,0,0,0,0,0,0,0
43,-8.100000381469727,1,4,55.81395348837209,50.0,10,4,3,2,1,2,9,2,0,0,1,0,0,0,3,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
43,-7.900000095367432,1,3,44.18604651162791,0.0,14,4,3,2,1,2,13,3,1,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
43,-10.300000190734863,1,12,48.837209302325576,41.66666666666667,11,6,2,2,2,0,9,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
43,-9.399999618530273,1,4,46.51162790697674,25.0,11,6,2,5,1,1,9,1,1,1,0,1,0,0,0,1,2,0,0,1,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
43,-8.699999809265137,1,10,55.81395348837209,60.0,10,4,2,1,1,1,9,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,2,0,0,2
79,-21.399999618530273,1,9,55.69620253164557,22.22222222222222,22,4,7,4,3,4,22,0,0,2,0,0,0,1,1,3,2,1,0,0,0,2,1,0,2,0,1,1,0,1,0,3,2,1,0,1,0,0,1
79,-22.399999618530273,1,6,59.49367088607595,50.0,21,5,6,6,4,2,13,3,1,2,0,0,0,0,2,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,2,1,0,2,0,0,2
67,-18.899999618530273,1,6,44.776119402985074,50.0,17,8,2,9,0,2,11,1,1,3,0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,3,5,0,0,0,1,0,1,1
64,-16.799999237060547,1,11,59.375,54.54545454545454,17,5,4,4,2,2,16,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,1,2,2,0,0,0,0,1,3,3,0,1,0,0,0,0,2
64,-13.699999809265137,1,4,59.375,75.0,16,5,4,7,2,2,14,1,0,0,0,2,0,0,1,1,2,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,2,0,1,2
86,-18.700000762939453,1,8,55.81395348837209,25.0,22,5,6,5,2,4,19,2,0,1,1,0,0,1,4,2,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,3,0,0,3,0,0,2
86,-15.199999809265137,1,9,38.372093023255815,11.11111111111111,27,10,5,6,2,3,25,2,1,1,0,3,0,1,3,3,0,2,0,2,0,0,0,6,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
45,-14.5,1,4,44.44444444444444,50.0,15,7,2,4,0,2,12,2,0,2,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0
76,-33.70000076293945,1,4,60.526315789473685,25.0,28,8,5,4,0,5,20,2,1,1,0,0,0,0,0,5,1,0,1,0,0,0,0,4,0,1,1,1,0,2,0,2,1,0,0,0,0,1,1
76,-13.199999809265137,1,9,42.10526315789473,33.33333333333333,16,6,3,3,1,2,16,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,3,3,0,0,0,2,0,1,0,3,0,2,1,0,0,0,2
76,-20.399999618530273,1,10,53.94736842105263,50.0,21,6,4,10,2,2,18,1,0,0,1,0,0,1,3,2,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,3,0,1,2,1,0,1,3
57,-10.0,1,10,45.614035087719294,50.0,12,5,2,7,0,2,10,2,1,1,0,0,0,2,3,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1
57,-8.600000381469727,1,5,42.10526315789473,40.0,11,4,2,9,1,1,11,1,0,2,0,0,0,1,4,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2
57,-10.800000190734863,1,4,45.614035087719294,25.0,15,6,3,3,2,1,13,1,0,3,0,0,0,0,2,0,0,0,0,1,0,1,1,4,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0
57,-7.5,1,4,52.63157894736842,25.0,10,5,2,5,2,0,9,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,1,1,0,1,0,0,3
101,-25.799999237060547,1,8,48.51485148514851,37.5,33,10,7,4,3,4,26,4,1,1,0,0,0,2,1,5,0,1,0,1,1,0,1,5,2,1,1,1,0,0,1,1,0,1,0,1,0,0,1
50,-8.800000190734863,1,5,48.0,40.0,10,4,2,2,2,0,7,2,0,2,0,0,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
50,-9.300000190734863,1,4,48.0,50.0,13,4,4,5,1,3,13,1,1,0,1,1,0,0,2,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
50,-13.300000190734863,1,7,50.0,42.857142857142854,12,6,2,10,1,1,8,0,1,1,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,2
44,-5.800000190734863,1,4,50.0,25.0,10,4,2,2,1,1,9,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,3
57,-16.399999618530273,1,8,56.14035087719298,25.0,17,5,3,6,1,2,13,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,4,1,1,0,0,0,0,3,1,0,2,0,2,0,0,0
57,-13.0,1,3,42.10526315789473,33.33333333333333,20,7,3,2,1,2,16,2,1,0,3,0,0,0,3,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
70,-33.900001525878906,1,8,65.71428571428571,62.5,23,10,2,1,0,2,19,0,1,0,0,0,0,0,0,5,0,1,0,1,0,0,1,6,1,0,0,0,0,0,3,2,0,0,0,0,0,0,2
70,-10.899999618530273,1,7,51.42857142857142,57.14285714285714,12,4,3,2,2,1,10,1,1,1,0,0,0,1,3,1,0,1,0,1,0,1,1,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,4
63,-17.799999237060547,1,4,58.730158730158735,100.0,16,8,3,4,2,1,15,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,0,0,1,0,0,2,2,3,1,0,0,0,0,2
46,-14.899999618530273,1,6,56.52173913043478,50.0,13,4,3,4,1,2,10,1,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,1
46,-8.699999809265137,1,7,47.82608695652174,57.14285714285714,11,4,3,3,2,1,9,0,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,1
46,-6.599999904632568,1,13,43.47826086956522,30.76923076923077,10,6,1,1,1,0,7,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1
72,-14.0,1,3,48.61111111111111,33.33333333333333,20,6,4,3,1,3,17,4,1,1,0,1,0,0,2,2,0,0,0,1,0,0,1,2,0,1,0,0,0,0,3,1,0,1,1,1,0,0,1
45,-13.699999809265137,1,4,57.77777777777777,25.0,13,7,2,4,1,1,9,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,1,0,1,0,0,0,2
70,-16.100000381469727,1,6,51.42857142857142,83.33333333333334,17,5,3,6,1,2,15,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,2,1,1,0,1,0,1,0,3,0,1,0,0,0,1,4
70,-25.200000762939453,1,8,61.42857142857143,50.0,23,6,5,3,2,3,22,1,0,1,1,0,0,0,2,2,0,1,1,1,0,0,0,2,1,0,1,0,0,1,0,3,1,0,1,2,1,0,0
67,-18.100000381469727,1,8,58.2089552238806,62.5,14,8,3,3,1,2,9,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,2,1,0,0,0,0,0,1,2,2,2,1,0,0,0,0,3
71,-16.600000381469727,1,6,53.52112676056338,83.33333333333334,21,6,4,3,0,4,16,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,1,1,1,0,0,5,1,0,0,0,2,0,1,1
